"K_index","L_index","K_name","L_name","kappa_theta","kappa_phi","observed","null_mean","null_sd","standardized","p.value","retained","n","B","min_p"
1,1,1,1,0.5,0.5,0.0329835025531573,0.000433669847046925,0.000257907501009745,NA,0.001,FALSE,678,999,0.001
2,1,2,1,2,0.5,0.213975216873275,0.00389040044560392,0.00182252889325376,NA,0.001,FALSE,678,999,0.001
3,1,3,1,8,0.5,58.9192805616048,2.02566714235281,0.662758339783422,85.8436778597819,0.001,TRUE,678,999,0.001
4,1,4,1,16,0.5,133562.192940085,6436.11351439963,1744.80294452051,72.8598492024103,0.001,TRUE,678,999,0.001
1,2,1,2,0.5,2,0.215203771744496,0.00384984354753335,0.00176032681509666,NA,0.001,FALSE,678,999,0.001
2,2,2,2,2,2,1.44064687101285,0.0344750672504556,0.0124116652859268,113.294370365983,0.001,TRUE,678,999,0.001
3,2,3,2,8,2,414.329499301983,17.8773445820177,4.5054926418663,87.9930756153102,0.001,TRUE,678,999,0.001
4,2,4,2,16,2,952974.277496207,56723.1983433022,11887.050028315,75.3972665226468,0.001,TRUE,678,999,0.001
1,3,1,3,0.5,8,59.4162276856373,1.96707963262355,0.620315486867299,92.6127902160592,0.001,TRUE,678,999,0.001
2,3,2,3,2,8,415.11497450091,17.5863168081812,4.3514383030475,91.3556920741176,0.001,TRUE,678,999,0.001
3,3,3,3,8,8,128233.741784681,9069.72859630606,1569.55119318627,75.9223488253775,0.001,TRUE,678,999,0.001
4,3,4,3,16,8,304164219.459695,28717186.5139653,4146452.00232517,66.4295722683562,0.001,TRUE,678,999,0.001
1,4,1,4,0.5,16,134196.712395071,6199.19678084793,1635.3938870393,78.2670869865783,0.001,TRUE,678,999,0.001
2,4,2,4,2,16,950973.2093084,55434.2901985735,11447.8833904498,78.227466909465,0.001,TRUE,678,999,0.001
3,4,3,4,8,16,302918432.262461,28556283.1314807,4134539.52576576,66.3585744969183,0.001,TRUE,678,999,0.001
4,4,4,4,16,16,731938065661.132,90365576823.2149,10934095039.6666,58.6763226870105,0.001,TRUE,678,999,0.001
