"Scenario","n","Method","Reject.","MC SE","R","B","alpha"
"Mixture, mixture",50,"HSIC fixed","0.06","0.01",500,499,"0.05"
"Mixture, mixture",50,"HSIC median","0.03","0.01",500,499,"0.05"
"Mixture, mixture",50,"HSIC multi-scale","0.05","0.01",500,499,"0.05"
"Mixture, mixture",100,"HSIC fixed","0.06","0.01",500,499,"0.05"
"Mixture, mixture",100,"HSIC median","0.04","0.01",500,499,"0.05"
"Mixture, mixture",100,"HSIC multi-scale","0.03","0.01",500,499,"0.05"
"Mixture, mixture",200,"HSIC fixed","0.05","0.01",500,499,"0.05"
"Mixture, mixture",200,"HSIC median","0.05","0.01",500,499,"0.05"
"Mixture, mixture",200,"HSIC multi-scale","0.07","0.01",500,499,"0.05"
"Uniform, uniform",50,"HSIC fixed","0.06","0.01",500,499,"0.05"
"Uniform, uniform",50,"HSIC median","0.05","0.01",500,499,"0.05"
"Uniform, uniform",50,"HSIC multi-scale","0.04","0.01",500,499,"0.05"
"Uniform, uniform",100,"HSIC fixed","0.05","0.01",500,499,"0.05"
"Uniform, uniform",100,"HSIC median","0.06","0.01",500,499,"0.05"
"Uniform, uniform",100,"HSIC multi-scale","0.06","0.01",500,499,"0.05"
"Uniform, uniform",200,"HSIC fixed","0.05","0.01",500,499,"0.05"
"Uniform, uniform",200,"HSIC median","0.05","0.01",500,499,"0.05"
"Uniform, uniform",200,"HSIC multi-scale","0.05","0.01",500,499,"0.05"
"Uniform, von Mises",50,"HSIC fixed","0.05","0.01",500,499,"0.05"
"Uniform, von Mises",50,"HSIC median","0.04","0.01",500,499,"0.05"
"Uniform, von Mises",50,"HSIC multi-scale","0.05","0.01",500,499,"0.05"
"Uniform, von Mises",100,"HSIC fixed","0.04","0.01",500,499,"0.05"
"Uniform, von Mises",100,"HSIC median","0.04","0.01",500,499,"0.05"
"Uniform, von Mises",100,"HSIC multi-scale","0.05","0.01",500,499,"0.05"
"Uniform, von Mises",200,"HSIC fixed","0.05","0.01",500,499,"0.05"
"Uniform, von Mises",200,"HSIC median","0.05","0.01",500,499,"0.05"
"Uniform, von Mises",200,"HSIC multi-scale","0.04","0.01",500,499,"0.05"
"von Mises, von Mises",50,"HSIC fixed","0.05","0.01",500,499,"0.05"
"von Mises, von Mises",50,"HSIC median","0.06","0.01",500,499,"0.05"
"von Mises, von Mises",50,"HSIC multi-scale","0.06","0.01",500,499,"0.05"
"von Mises, von Mises",100,"HSIC fixed","0.05","0.01",500,499,"0.05"
"von Mises, von Mises",100,"HSIC median","0.05","0.01",500,499,"0.05"
"von Mises, von Mises",100,"HSIC multi-scale","0.05","0.01",500,499,"0.05"
"von Mises, von Mises",200,"HSIC fixed","0.03","0.01",500,499,"0.05"
"von Mises, von Mises",200,"HSIC median","0.03","0.01",500,499,"0.05"
"von Mises, von Mises",200,"HSIC multi-scale","0.03","0.01",500,499,"0.05"
